name,version,advisories,bans,licenses,sources
strange-loop,0.1.0,False,True,False,True
pr_comments,0.1.0,False,True,False,True
bpi-rs,0.1.0,True,True,False,True
openrml,0.1.0,True,True,False,True
oncelock,0.1.0-alpha.0,True,True,False,True
semver-query,0.1.0,True,True,False,True
klayout-lyp,0.1.0,True,True,False,True
uefi-reset,1.0.0,True,True,True,True
nooope,0.1.0,True,True,False,True
saturn-feerate-oracle,0.1.0,False,True,False,True
saturn-mempool-oracle,0.1.0,False,True,False,True
fee_rate_oracle,0.1.0,False,True,False,True
saturn-mempool-oracle-sdk,0.0.1,False,True,False,True
poly_doctest,0.1.0,True,True,False,True
dyn-inventory,0.1.1,True,True,False,True
supabasic,0.1.0,True,True,False,True
p7m-sync,0.1.0,True,True,False,True
elf2flash,0.0.2,True,True,False,True
manta-cli,1.56.7,True,True,False,True
elf2flash-core,0.0.2,True,True,False,True
