name,version,upload_time,downloads,recent_downloads,advisories,bans,licenses,sources
beancounter,0.1.0,2022-04-21T20:02:37.880994Z,1662,206,True,True,False,True
nosleep,0.2.1,2022-11-20T17:01:53.107397Z,15288,2003,True,True,False,True
nosleep-mac-sys,0.2.1,2022-11-20T16:32:14.793650Z,10483,1213,True,True,False,True
async_bus,0.1.0,2022-04-21T19:32:26.357953Z,1742,209,True,True,False,True
sign_mail,0.2.2,2022-04-21T19:51:09.575687Z,4785,498,False,True,False,True
apollo-gateway-rs,0.9.5,2024-05-15T21:07:12.279741Z,21133,2321,False,True,False,True
divecli,0.1.1,2022-04-21T16:22:59.607171Z,2740,301,True,True,False,True
drsh4dow_testing_mini_crate_that_do_nothing,0.1.2,2022-04-21T15:52:31.297948Z,4037,439,True,True,False,True
rutil,0.2.0,2022-05-11T13:43:10.026933Z,3167,365,True,True,False,True
raise,2.0.0,2022-04-23T10:53:21.265738Z,3757,425,True,True,False,True
gvdb-macros,0.1.15,2025-08-09T14:48:44.709035Z,99945,6325,True,True,False,True
gvdb,0.9.0,2025-08-09T14:48:30.671690Z,148198,11040,True,True,False,True
eventree,0.7.0,2023-11-01T00:18:29.312673Z,13849,1425,True,True,False,True
jsonrpsee-wasm-client,0.26.0,2025-08-11T14:46:37.914622Z,4629902,771384,True,True,False,True
distribuidos_sync,1.2.0,2022-04-28T14:54:45.892225Z,13168,1264,False,True,False,True
sg1,3.15.0,2024-10-01T18:42:33.454863Z,111437,12704,True,True,False,True
wincounter,0.1.1,2022-04-23T15:48:34.989420Z,5261,368,True,True,False,True
git-sequencer,0.1.0,2023-02-17T09:08:36.826994Z,2705,293,True,True,False,True
bitmath,0.0.2,2022-11-04T08:04:50.471663Z,2795,349,True,True,False,True
injective-math,0.3.5-1,2025-09-17T05:52:48.249702Z,60259,6068,True,True,False,True
bpfdeploy-libbpf-sys,1.0.1+v1.0.0,2022-08-25T18:50:22.952703Z,10906,1109,True,True,False,True
locus,0.0.0,2022-04-21T00:02:21.123168Z,1510,179,False,True,False,True
printnanny-dev,0.22.5,2022-06-19T05:26:25.452856Z,14098,1564,False,True,False,True
geo302,0.2.2,2023-07-01T18:25:19.037258Z,11188,1160,True,True,False,True
typenaming,0.3.0,2022-04-27T20:00:15.034862Z,7098,850,True,True,False,True
typenaming-derive,0.3.0,2022-04-27T19:59:40.253989Z,5361,647,True,True,False,True
publish-test-b-4347e0f632,0.6.1,2024-12-12T07:09:08.384338Z,9009,1218,True,True,False,True
publish-test-a-60e894818a,0.5.1,2024-12-12T07:09:03.953207Z,8996,1135,False,True,False,True
fltk-builder,0.1.0,2022-04-20T20:34:14.710778Z,1656,193,True,True,False,True
rppal-dht11,0.4.0,2022-04-20T18:00:39.804352Z,4792,484,True,True,False,True
ndsp,0.3.1,2022-05-09T20:05:41.869623Z,8898,1089,False,True,False,True
frenderer,0.10.0,2024-05-23T11:54:33.944676Z,67258,6309,True,True,False,True
modrinth,0.2.0,2022-07-01T05:31:21.273499Z,2759,323,True,True,False,True
critical-once-cell,0.2.0,2025-02-13T07:27:34.125674Z,2204,336,True,True,False,True
xpt2046,0.3.0,2022-04-21T17:16:20.680791Z,7380,886,False,True,False,True
nove-anchor-spl,0.24.4,2022-04-20T12:12:07.798552Z,3791,431,True,True,False,True
srs2dge,0.2.0,2022-05-26T16:15:42.549157Z,3823,483,True,True,False,True
main_game_loop,0.6.1,2022-11-27T23:17:35.415596Z,29383,2794,False,True,False,True
netplan-types,0.6.0,2025-07-23T15:18:04.417932Z,91045,2621,True,True,False,True
rampart,0.1.1,2022-04-20T11:42:09.940298Z,2631,310,False,True,False,True
cln-grpc,0.4.0,2025-03-11T16:12:07.368214Z,64448,6701,True,True,False,True
cln-rpc,0.4.0,2025-03-11T16:11:09.921144Z,193475,18692,True,True,False,True
binairo,0.1.1,2022-04-20T10:28:05.515950Z,2880,357,True,True,False,True
serverman,0.5.2,2025-08-17T02:37:03.255345Z,9225,1441,False,True,False,True
